Experiment #,Timestamp,temperature,residence_time,pressure,Measurement,Yield
1,2025-07-08 11:30:59,60.84443440871049,38.34347898661638,3.559382000545539,71.4231829,71.4231829
2,2025-07-08 11:46:30,51.858257107591925,64.58327528535912,2.199949831636006,76.02733373333334,76.02733373333334
3,2025-07-08 11:58:06,45.66620013846403,53.37086111390219,2.2857336358438816,71.86176376666667,71.86176376666667
4,2025-07-08 12:06:20,54.28998128269839,25.641157902710027,3.4439975445336497,72.30236930000001,72.30236930000001
5,2025-07-08 13:01:28,67.23487190570876,20.077876584101432,3.984423118582436,72.15281923333333,72.15281923333333
6,2025-07-08 13:20:27,52.78666793324725,81.1653160488281,2.014132610439435,73.78582159999999,73.78582159999999
7,2025-07-08 13:49:19,26.03780912686371,72.47746602583894,2.7997219434305114,70.87348303333334,70.87348303333334
8,2025-07-08 14:10:07,27.099954844612693,117.37555188414592,2.4655426808606085,70.40919463333333,70.40919463333333
9,2025-07-08 14:26:06,29.077289553976936,81.83860093330874,2.764923982534325,69.4870194,69.4870194
10,2025-07-08 14:49:17,69.24538986130548,66.676289324798,3.7198808134726415,64.8362736,64.8362736
11,2025-07-08 15:22:38,53.43040589418065,58.37835945487759,3.7354889718378415,85.6163184,85.6163184
12,2025-07-08 15:33:59,52.84771294590563,63.69038664609804,3.933533546455144,87.86309956666666,87.86309956666666
13,2025-07-08 15:49:12,51.665189466671876,72.59804662224306,4.0,87.9883925,87.9883925
