Experiment #,Timestamp,temperature,residence_time,pressure,Measurement
1,2025-05-06 16:27:56,17.96542986860233,11.83434789866164,17.796910002727696,3.968016050382517
2,2025-05-06 16:27:57,15.96850157946487,14.458327528535913,10.999749158180029,3.905406893196017
3,2025-05-06 16:27:58,14.592488919658672,13.33708611139022,11.428668179219407,3.909484718864919
4,2025-05-06 16:27:59,16.50888472948853,10.564115790271003,17.21998772266825,3.99377825286374
5,2025-05-06 16:28:00,19.385527090157503,10.007787658410145,19.922115592912174,3.9649541031843
6,2025-05-06 16:28:01,16.174815096277165,16.11653160488281,10.070663052197174,3.8724759952124663
7,2025-05-06 16:28:02,10.230624250414158,15.247746602583891,13.998609717152556,4.0
8,2025-05-06 16:28:03,10.466656632136154,19.7375551884146,12.327713404303044,3.906379048787374
9,2025-05-06 16:28:04,10.906064345328208,16.183860093330875,13.82461991267163,3.8477238630054624
10,2025-05-06 16:28:05,19.832308858067883,14.6676289324798,18.59940406736321,3.8758578249995432
11,2025-05-06 16:28:06,10.0,15.405615006038635,14.06182028130237,3.972044965473856
12,2025-05-06 16:28:08,17.598562422822326,10.357215719823683,17.944717476286073,4.0
13,2025-05-06 16:28:09,10.0,15.00257942282532,11.388831756747283,3.9096005683831936
14,2025-05-06 16:28:31,12.376595388349914,10.855690581717077,10.141701850756213,3.9825749016664593
15,2025-05-06 16:28:32,18.05560112358656,11.318506637309484,19.217671182731863,3.9334088637065943
16,2025-05-06 16:28:33,11.26857262109983,12.243805611470162,17.128545094886967,4.0
17,2025-05-06 16:28:34,18.16307783560794,12.486105020468152,19.939863365487874,3.897998138543357
18,2025-05-06 16:28:35,14.055662823505198,14.860956180810923,14.227500137360588,3.9160397890682566
19,2025-05-06 16:28:36,15.320264856173226,12.090047725465357,10.953232324903983,3.940417956720789
20,2025-05-06 16:28:38,15.389724791274483,10.446087066069115,12.406052636322483,3.991578099875336
